athlete,gender,region,wod,score,rank,overall_score,overall_rank
Jamie Chrispen,f,midatlantic,14_5,NA,85,460,54
Elizabeth Lillie,f,midatlantic,14_5,NA,89,468,55
Drew Hanna,f,midatlantic,14_5,NA,89,504,60
Quinn Megargel,f,midatlantic,14_5,NA,93,332,36
Katie Levy,f,midatlantic,14_5,NA,97,249,24
Corrine Check,f,midatlantic,14_5,NA,101,398,46
Gaylemarie Kolb,f,midatlantic,14_5,NA,108,394,45
Darcy Thompson,f,midatlantic,14_5,NA,108,436,51
Kim Cocce,f,midatlantic,14_5,NA,111,475,56
Cameron Williams,f,midatlantic,14_5,NA,132,328,35
Shanna Duvall,f,midatlantic,14_5,NA,135,296,27
Emily Record,f,midatlantic,14_5,NA,142,442,52
Kaja Baum,f,midatlantic,14_5,NA,175,497,58
Nicole Capurso,f,midatlantic,14_5,NA,178,363,42
Alicia McKenzie,f,midatlantic,14_5,NA,193,246,22
Kate Garufi,f,midatlantic,14_5,NA,193,424,48
Katie Wasalaski,f,midatlantic,14_5,NA,238,503,59
Christa Giordano,f,midatlantic,14_5,NA,277,483,57
Katie Trombetta,f,northcentral,14_1,307,305,535,59
Lydia Novotny,f,northcentral,14_1,313,216,410,45
Kristen Rosenau,f,northcentral,14_1,317,163,449,48
Jessica Farrell,f,northcentral,14_1,322,152,360,37
Maria McIntyre,f,northcentral,14_1,333,129,447,47
Bridget Ahlfield,f,northcentral,14_1,334,127,365,39
Janelle Ragusa,f,northcentral,14_1,335,125,449,48
Shannon Duggan,f,northcentral,14_1,338,119,383,42
Andrea Nisler,f,northcentral,14_1,345,95,181,14
Katie Schmitz,f,northcentral,14_1,345,95,311,30
Libby DiBiase,f,northcentral,14_1,345,95,494,54
Kady Sackett,f,northcentral,14_1,346,89,375,41
Amanda Proehl,f,northcentral,14_1,346,89,527,57
Grace Dresher,f,northcentral,14_1,347,82,145,10
Melissa Dinsmore,f,northcentral,14_1,347,82,183,15
Mary Theobald,f,northcentral,14_1,347,82,537,60
Ashley Van Boxtel,f,northcentral,14_1,348,76,171,13
Britt Ringstrom,f,northcentral,14_1,348,76,303,29
Tosha Pastorek,f,northcentral,14_1,348,76,497,56
M'Kelle Tomberlin,f,northcentral,14_1,349,74,271,26
Tracy Alberty,f,northcentral,14_1,349,74,362,38
Tristan Erlenbaugh,f,northcentral,14_1,351,62,254,20
Rachel Pirkl,f,northcentral,14_1,351,62,463,51
Nicole Samida,f,northcentral,14_1,351,62,496,55
Christina Merlo,f,northcentral,14_1,352,55,223,19
Emma Moburg-Jones,f,northcentral,14_1,352,55,289,28
Kelly Nicolas,f,northcentral,14_1,352,55,347,36
Katelyn Busacker,f,northcentral,14_1,352,55,419,46
Brook Moberly,f,northcentral,14_1,353,51,345,35
JB Newell,f,northcentral,14_1,355,42,259,22
Mekenzie Riley,f,northcentral,14_1,355,42,372,40
Nina Arezina,f,northcentral,14_1,355,42,531,58
Elisabeth Akinwale,f,northcentral,14_1,356,36,79,5
Megan John,f,northcentral,14_1,356,36,213,18
Laura Murphy,f,northcentral,14_1,356,36,254,20
Michele Weissenhofer,f,northcentral,14_1,358,30,263,23
Sarah Grant,f,northcentral,14_1,358,30,264,24
Jaime Noyce,f,northcentral,14_1,358,30,268,25
Kelsi Chowning,f,northcentral,14_1,358,30,481,53
Madison Freeman,f,northcentral,14_1,360,22,189,16
kinsy rosati,f,northcentral,14_1,360,22,339,34
Amy Cash,f,northcentral,14_1,364,21,460,50
Ashley Carlson,f,northcentral,14_1,368,20,194,17
Kristin King,f,northcentral,14_1,374,18,89,6
Charity Dye,f,northcentral,14_1,374,18,319,32
Christy Jeffery,f,northcentral,14_1,381,17,409,44
Lisa Rolfe,f,northcentral,14_1,384,16,337,33
Becca Clarin,f,northcentral,14_1,385,14,94,7
Mallory Lawson,f,northcentral,14_1,387,13,169,12
kara paslay,f,northcentral,14_1,391,9,113,8
Sonia Rodriguez,f,northcentral,14_1,391,9,313,31
Megan Scales,f,northcentral,14_1,391,9,396,43
Megan MacLellan,f,northcentral,14_1,391,9,475,52
Brooke Wells,f,northcentral,14_1,393,7,127,9
Alexandra LaChance,f,northcentral,14_1,393,7,166,11
Jessica Schulz,f,northcentral,14_1,394,6,61,4
Stacie Tovar,f,northcentral,14_1,395,5,28,1
Emily Yates,f,northcentral,14_1,398,4,286,27
Kristin Miller,f,northcentral,14_1,400,2,49,3
Kelley Jackson,f,northcentral,14_1,415,1,28,1
Christy Jeffery,f,northcentral,14_2,139,158,409,44
Amy Cash,f,northcentral,14_2,139,158,460,50
Kelsi Chowning,f,northcentral,14_2,140,149,481,53
Nicole Samida,f,northcentral,14_2,140,149,496,55
Mary Theobald,f,northcentral,14_2,141,138,537,60
Britt Ringstrom,f,northcentral,14_2,142,127,303,29
Megan Scales,f,northcentral,14_2,142,127,396,43
JB Newell,f,northcentral,14_2,143,120,259,22
Sonia Rodriguez,f,northcentral,14_2,173,110,313,31
Maria McIntyre,f,northcentral,14_2,173,110,447,47
Tracy Alberty,f,northcentral,14_2,174,108,362,38
Lisa Rolfe,f,northcentral,14_2,175,105,337,33
kinsy rosati,f,northcentral,14_2,175,105,339,34
Kelly Nicolas,f,northcentral,14_2,176,101,347,36
Jaime Noyce,f,northcentral,14_2,177,99,268,25
Rachel Pirkl,f,northcentral,14_2,181,92,463,51
Nina Arezina,f,northcentral,14_2,182,89,531,58
Ashley Carlson,f,northcentral,14_2,183,85,194,17
Janelle Ragusa,f,northcentral,14_2,184,81,449,48
Megan MacLellan,f,northcentral,14_2,184,81,475,52
Emma Moburg-Jones,f,northcentral,14_2,188,75,289,28
Katelyn Busacker,f,northcentral,14_2,189,72,419,46
Tosha Pastorek,f,northcentral,14_2,191,69,497,56
Bridget Ahlfield,f,northcentral,14_2,194,58,365,39
Brook Moberly,f,northcentral,14_2,195,54,345,35
Lydia Novotny,f,northcentral,14_2,195,54,410,45
Katie Trombetta,f,northcentral,14_2,195,54,535,59
Kristen Rosenau,f,northcentral,14_2,196,51,449,48
Becca Clarin,f,northcentral,14_2,197,46,94,7
Michele Weissenhofer,f,northcentral,14_2,197,46,263,23
Shannon Duggan,f,northcentral,14_2,198,44,383,42
M'Kelle Tomberlin,f,northcentral,14_2,199,38,271,26
Emily Yates,f,northcentral,14_2,199,38,286,27
Kady Sackett,f,northcentral,14_2,199,38,375,41
Libby DiBiase,f,northcentral,14_2,199,38,494,54
kara paslay,f,northcentral,14_2,200,33,113,8
Brooke Wells,f,northcentral,14_2,200,33,127,9
Megan John,f,northcentral,14_2,201,31,213,18
Mallory Lawson,f,northcentral,14_2,203,27,169,12
Katie Schmitz,f,northcentral,14_2,203,27,311,30
Kristin King,f,northcentral,14_2,204,23,89,6
Andrea Nisler,f,northcentral,14_2,204,23,181,14
Melissa Dinsmore,f,northcentral,14_2,206,20,183,15
Jessica Farrell,f,northcentral,14_2,206,20,360,37
Christina Merlo,f,northcentral,14_2,207,18,223,19
Mekenzie Riley,f,northcentral,14_2,207,18,372,40
Tristan Erlenbaugh,f,northcentral,14_2,239,17,254,20
Amanda Proehl,f,northcentral,14_2,248,15,527,57
Laura Murphy,f,northcentral,14_2,250,13,254,20
Charity Dye,f,northcentral,14_2,250,13,319,32
Grace Dresher,f,northcentral,14_2,253,12,145,10
Ashley Van Boxtel,f,northcentral,14_2,256,9,171,13
Alexandra LaChance,f,northcentral,14_2,260,8,166,11
Elisabeth Akinwale,f,northcentral,14_2,261,7,79,5
Sarah Grant,f,northcentral,14_2,262,6,264,24
Kristin Miller,f,northcentral,14_2,263,5,49,3
Stacie Tovar,f,northcentral,14_2,267,3,28,1
Jessica Schulz,f,northcentral,14_2,267,3,61,4
Madison Freeman,f,northcentral,14_2,269,2,189,16
Kelley Jackson,f,northcentral,14_2,353,1,28,1
Amanda Proehl,f,northcentral,14_3,138,350,527,57
Mekenzie Riley,f,northcentral,14_3,140,290,372,40
Megan MacLellan,f,northcentral,14_3,142,212,475,52
Tosha Pastorek,f,northcentral,14_3,142,234,497,56
Libby DiBiase,f,northcentral,14_3,143,187,494,54
Emily Yates,f,northcentral,14_3,144,164,286,27
Nina Arezina,f,northcentral,14_3,144,163,531,58
Laura Murphy,f,northcentral,14_3,145,157,254,20
Charity Dye,f,northcentral,14_3,145,155,319,32
Sarah Grant,f,northcentral,14_3,146,136,264,24
Kady Sackett,f,northcentral,14_3,146,142,375,41
Kristen Rosenau,f,northcentral,14_3,146,140,449,48
Madison Freeman,f,northcentral,14_3,147,119,189,16
Rachel Pirkl,f,northcentral,14_3,147,127,463,51
Brook Moberly,f,northcentral,14_3,148,107,345,35
Kelly Nicolas,f,northcentral,14_3,148,114,347,36
Christy Jeffery,f,northcentral,14_3,148,117,409,44
Christina Merlo,f,northcentral,14_3,149,98,223,19
Katie Schmitz,f,northcentral,14_3,149,102,311,30
Jessica Farrell,f,northcentral,14_3,149,91,360,37
Shannon Duggan,f,northcentral,14_3,149,97,383,42
Lydia Novotny,f,northcentral,14_3,149,99,410,45
Tristan Erlenbaugh,f,northcentral,14_3,150,81,254,20
Tracy Alberty,f,northcentral,14_3,150,85,362,38
Megan Scales,f,northcentral,14_3,150,83,396,43
Janelle Ragusa,f,northcentral,14_3,150,82,449,48
Mary Theobald,f,northcentral,14_3,150,86,537,60
Ashley Van Boxtel,f,northcentral,14_3,152,58,171,13
Megan John,f,northcentral,14_3,152,53,213,18
kinsy rosati,f,northcentral,14_3,152,57,339,34
Katelyn Busacker,f,northcentral,14_3,152,55,419,46
kara paslay,f,northcentral,14_3,153,45,113,8
Maria McIntyre,f,northcentral,14_3,153,51,447,47
Kelsi Chowning,f,northcentral,14_3,153,47,481,53
Ashley Carlson,f,northcentral,14_3,154,43,194,17
Sonia Rodriguez,f,northcentral,14_3,154,42,313,31
Lisa Rolfe,f,northcentral,14_3,154,41,337,33
Alexandra LaChance,f,northcentral,14_3,155,39,166,11
Mallory Lawson,f,northcentral,14_3,155,34,169,12
Amy Cash,f,northcentral,14_3,155,35,460,50
Nicole Samida,f,northcentral,14_3,155,32,496,55
Emma Moburg-Jones,f,northcentral,14_3,156,31,289,28
Grace Dresher,f,northcentral,14_3,157,27,145,10
Kelley Jackson,f,northcentral,14_3,158,21,28,1
Bridget Ahlfield,f,northcentral,14_3,158,25,365,39
Stacie Tovar,f,northcentral,14_3,159,17,28,1
Kristin Miller,f,northcentral,14_3,159,19,49,3
Becca Clarin,f,northcentral,14_3,159,18,94,7
Jaime Noyce,f,northcentral,14_3,159,20,268,25
M'Kelle Tomberlin,f,northcentral,14_3,160,16,271,26
Andrea Nisler,f,northcentral,14_3,163,15,181,14
Katie Trombetta,f,northcentral,14_3,164,14,535,59
Britt Ringstrom,f,northcentral,14_3,165,13,303,29
Jessica Schulz,f,northcentral,14_3,168,12,61,4
Michele Weissenhofer,f,northcentral,14_3,168,11,263,23
Melissa Dinsmore,f,northcentral,14_3,169,10,183,15
JB Newell,f,northcentral,14_3,171,8,259,22
Brooke Wells,f,northcentral,14_3,175,4,127,9
Kristin King,f,northcentral,14_3,179,2,89,6
Elisabeth Akinwale,f,northcentral,14_3,191,1,79,5
Kelsi Chowning,f,northcentral,14_4,181,209,481,53
Rachel Pirkl,f,northcentral,14_4,183,142,463,51
Nicole Samida,f,northcentral,14_4,183,153,496,55
Katie Trombetta,f,northcentral,14_4,183,142,535,59
Lisa Rolfe,f,northcentral,14_4,184,120,337,33
Megan John,f,northcentral,14_4,185,85,213,18
Sarah Grant,f,northcentral,14_4,185,83,264,24
kinsy rosati,f,northcentral,14_4,185,97,339,34
Brook Moberly,f,northcentral,14_4,185,107,345,35
Amy Cash,f,northcentral,14_4,185,100,460,50
Nina Arezina,f,northcentral,14_4,185,85,531,58
JB Newell,f,northcentral,14_4,186,65,259,22
Emily Yates,f,northcentral,14_4,186,69,286,27
Emma Moburg-Jones,f,northcentral,14_4,186,74,289,28
Jessica Farrell,f,northcentral,14_4,186,68,360,37
Bridget Ahlfield,f,northcentral,14_4,186,72,365,39
Christy Jeffery,f,northcentral,14_4,186,81,409,44
Katelyn Busacker,f,northcentral,14_4,186,80,419,46
Megan MacLellan,f,northcentral,14_4,186,70,475,52
Brooke Wells,f,northcentral,14_4,187,50,127,9
Melissa Dinsmore,f,northcentral,14_4,187,51,183,15
Sonia Rodriguez,f,northcentral,14_4,187,59,313,31
Kelly Nicolas,f,northcentral,14_4,187,52,347,36
Megan Scales,f,northcentral,14_4,187,57,396,43
Janelle Ragusa,f,northcentral,14_4,187,58,449,48
Libby DiBiase,f,northcentral,14_4,187,62,494,54
Amanda Proehl,f,northcentral,14_4,187,54,527,57
Kristin King,f,northcentral,14_4,188,43,89,6
Mallory Lawson,f,northcentral,14_4,188,47,169,12
Kady Sackett,f,northcentral,14_4,188,49,375,41
Andrea Nisler,f,northcentral,14_4,189,35,181,14
Laura Murphy,f,northcentral,14_4,189,36,254,20
Tristan Erlenbaugh,f,northcentral,14_4,189,33,254,20
Michele Weissenhofer,f,northcentral,14_4,189,42,263,23
Charity Dye,f,northcentral,14_4,189,40,319,32
Shannon Duggan,f,northcentral,14_4,189,39,383,42
Tosha Pastorek,f,northcentral,14_4,189,41,497,56
Madison Freeman,f,northcentral,14_4,190,29,189,16
Jaime Noyce,f,northcentral,14_4,190,28,268,25
M'Kelle Tomberlin,f,northcentral,14_4,190,30,271,26
Britt Ringstrom,f,northcentral,14_4,190,26,303,29
Lydia Novotny,f,northcentral,14_4,190,25,410,45
Maria McIntyre,f,northcentral,14_4,190,31,447,47
kara paslay,f,northcentral,14_4,191,21,113,8
Kristen Rosenau,f,northcentral,14_4,191,23,449,48
Ashley Van Boxtel,f,northcentral,14_4,192,18,171,13
Mekenzie Riley,f,northcentral,14_4,192,16,372,40
Mary Theobald,f,northcentral,14_4,192,17,537,60
Elisabeth Akinwale,f,northcentral,14_4,193,13,79,5
Becca Clarin,f,northcentral,14_4,193,12,94,7
Kristin Miller,f,northcentral,14_4,194,8,49,3
Grace Dresher,f,northcentral,14_4,194,7,145,10
Christina Merlo,f,northcentral,14_4,194,10,223,19
Tracy Alberty,f,northcentral,14_4,194,11,362,38
Ashley Carlson,f,northcentral,14_4,195,6,194,17
Katie Schmitz,f,northcentral,14_4,195,5,311,30
Kelley Jackson,f,northcentral,14_4,196,4,28,1
Jessica Schulz,f,northcentral,14_4,197,3,61,4
Stacie Tovar,f,northcentral,14_4,198,1,28,1
Alexandra LaChance,f,northcentral,14_4,198,2,166,11
Kelley Jackson,f,northcentral,14_5,NA,1,28,1
Stacie Tovar,f,northcentral,14_5,NA,2,28,1
Kristin King,f,northcentral,14_5,NA,3,89,6
Becca Clarin,f,northcentral,14_5,NA,4,94,7
kara paslay,f,northcentral,14_5,NA,5,113,8
Mekenzie Riley,f,northcentral,14_5,NA,6,372,40
Megan John,f,northcentral,14_5,NA,8,213,18
Sarah Grant,f,northcentral,14_5,NA,9,264,24
Ashley Van Boxtel,f,northcentral,14_5,NA,10,171,13
Emily Yates,f,northcentral,14_5,NA,11,286,27
Laura Murphy,f,northcentral,14_5,NA,12,254,20
Andrea Nisler,f,northcentral,14_5,NA,13,181,14
Kristin Miller,f,northcentral,14_5,NA,15,49,3
Lydia Novotny,f,northcentral,14_5,NA,16,410,45
Grace Dresher,f,northcentral,14_5,NA,17,145,10
Madison Freeman,f,northcentral,14_5,NA,17,189,16
Amanda Proehl,f,northcentral,14_5,NA,19,527,57
Melissa Dinsmore,f,northcentral,14_5,NA,20,183,15
Katie Trombetta,f,northcentral,14_5,NA,20,535,59
Elisabeth Akinwale,f,northcentral,14_5,NA,22,79,5
JB Newell,f,northcentral,14_5,NA,24,259,22
Kelly Nicolas,f,northcentral,14_5,NA,25,347,36
Brook Moberly,f,northcentral,14_5,NA,26,345,35
Jessica Farrell,f,northcentral,14_5,NA,29,360,37
Brooke Wells,f,northcentral,14_5,NA,33,127,9
Christy Jeffery,f,northcentral,14_5,NA,36,409,44
Jessica Schulz,f,northcentral,14_5,NA,37,61,4
Ashley Carlson,f,northcentral,14_5,NA,40,194,17
Rachel Pirkl,f,northcentral,14_5,NA,40,463,51
Christina Merlo,f,northcentral,14_5,NA,42,223,19
Kelsi Chowning,f,northcentral,14_5,NA,46,481,53
Mallory Lawson,f,northcentral,14_5,NA,48,169,12
Emma Moburg-Jones,f,northcentral,14_5,NA,54,289,28
Lisa Rolfe,f,northcentral,14_5,NA,55,337,33
Kady Sackett,f,northcentral,14_5,NA,57,375,41
kinsy rosati,f,northcentral,14_5,NA,58,339,34
Tristan Erlenbaugh,f,northcentral,14_5,NA,61,254,20
Britt Ringstrom,f,northcentral,14_5,NA,61,303,29
Kristen Rosenau,f,northcentral,14_5,NA,72,449,48
Tosha Pastorek,f,northcentral,14_5,NA,77,497,56
Katie Schmitz,f,northcentral,14_5,NA,82,311,30
Bridget Ahlfield,f,northcentral,14_5,NA,83,365,39
Tracy Alberty,f,northcentral,14_5,NA,84,362,38
Shannon Duggan,f,northcentral,14_5,NA,84,383,42
Jaime Noyce,f,northcentral,14_5,NA,91,268,25
Sonia Rodriguez,f,northcentral,14_5,NA,93,313,31
Charity Dye,f,northcentral,14_5,NA,93,319,32
Nicole Samida,f,northcentral,14_5,NA,100,496,55
Janelle Ragusa,f,northcentral,14_5,NA,103,449,48
Megan MacLellan,f,northcentral,14_5,NA,103,475,52
Alexandra LaChance,f,northcentral,14_5,NA,110,166,11
Libby DiBiase,f,northcentral,14_5,NA,112,494,54
M'Kelle Tomberlin,f,northcentral,14_5,NA,113,271,26
Megan Scales,f,northcentral,14_5,NA,120,396,43
Maria McIntyre,f,northcentral,14_5,NA,126,447,47
Michele Weissenhofer,f,northcentral,14_5,NA,134,263,23
Amy Cash,f,northcentral,14_5,NA,146,460,50
Nina Arezina,f,northcentral,14_5,NA,152,531,58
Katelyn Busacker,f,northcentral,14_5,NA,157,419,46
Mary Theobald,f,northcentral,14_5,NA,214,537,60
Alicia Gomes,f,northeast,14_1,310,275,446,45
Kaitlyn Fitzgerald,f,northeast,14_1,310,275,489,55
Michele Sano,f,northeast,14_1,315,196,515,58
Allyson Bushey,f,northeast,14_1,317,188,376,35
Keri Ann Koegel,f,northeast,14_1,330,153,376,35
Michelle Kercado,f,northeast,14_1,332,149,242,17
Emmy Simpkins,f,northeast,14_1,334,140,278,22
Elizabeth Rogers,f,northeast,14_1,335,138,409,40
Karianne Dickson,f,northeast,14_1,338,131,446,45
Miwa Andrus,f,northeast,14_1,338,131,458,51
melissa smith,f,northeast,14_1,339,129,454,50
Jessa Lemoine,f,northeast,14_1,340,126,430,42
Kristen Graham,f,northeast,14_1,341,124,513,57
Nancy Kegelman,f,northeast,14_1,343,119,486,54
Tiffany Szemplinski,f,northeast,14_1,346,90,187,11
kylee claxton,f,northeast,14_1,346,90,304,26
Kristen Kane,f,northeast,14_1,346,90,320,30
Kassandra Aveni,f,northeast,14_1,346,90,437,44
Megin Oczkowski,f,northeast,14_1,347,81,209,12
Kelly Steadman,f,northeast,14_1,347,81,433,43
Lizzy Smith,f,northeast,14_1,348,75,307,27
Jennifer Lesniak,f,northeast,14_1,349,69,419,41
Alice Efland,f,northeast,14_1,349,69,448,48
Stacey Kroon,f,northeast,14_1,351,60,129,9
Abby Graham,f,northeast,14_1,353,51,466,52
Cady Hart,f,northeast,14_1,353,51,523,60
Sheila Barden,f,northeast,14_1,354,50,210,13
Lauren Conner,f,northeast,14_1,355,43,227,15
Rachel Goldenberg,f,northeast,14_1,355,43,233,16
Molly Abgarian,f,northeast,14_1,355,43,288,23
Jennifer Hunter-Marshall,f,northeast,14_1,355,43,349,33
Vanessa Whiting,f,northeast,14_1,356,42,317,29
Elizabeth Warren,f,northeast,14_1,357,38,325,31
Kristine Best,f,northeast,14_1,357,38,398,38
Jaime Vanacore,f,northeast,14_1,357,38,521,59
Sara Hill Mass,f,northeast,14_1,358,36,243,18
Kate Denny,f,northeast,14_1,358,36,473,53
Dani Horan,f,northeast,14_1,359,32,80,4
Lisa Mikkelsen,f,northeast,14_1,359,32,404,39
Rachel Martinez,f,northeast,14_1,360,25,117,6
Tracy O'Donnell,f,northeast,14_1,360,25,243,18
Elizabeth Adams,f,northeast,14_1,360,25,260,20
Christie Choma,f,northeast,14_1,360,25,299,24
Ayn Toppin,f,northeast,14_1,360,25,447,47
Carla Bezold,f,northeast,14_1,362,24,326,32
Lauren Plumey,f,northeast,14_1,369,23,261,21
Maria Vulcano,f,northeast,14_1,372,22,395,37
Erica Pollock,f,northeast,14_1,373,18,121,8
Michelle Fountain,f,northeast,14_1,373,18,358,34
Andrea Cooke,f,northeast,14_1,373,18,509,56
Amy Mandelbaum,f,northeast,14_1,376,16,453,49
Keidy Toomey,f,northeast,14_1,378,15,316,28
Angela Kamendulis,f,northeast,14_1,381,14,119,7
Kelly Munroe,f,northeast,14_1,384,12,300,25
christina morris,f,northeast,14_1,390,11,222,14
Jenny Davis,f,northeast,14_1,393,9,157,10
Cheryl Nasso,f,northeast,14_1,399,6,33,2
Katelyn Schuh,f,northeast,14_1,399,6,90,5
Kaleena Ladeairous,f,northeast,14_1,416,3,20,1
Sarah Scholl,f,northeast,14_1,422,2,64,3
Jaime Vanacore,f,northeast,14_2,134,250,521,59
Kristen Graham,f,northeast,14_2,136,217,513,57
Jennifer Lesniak,f,northeast,14_2,138,175,419,41
Carla Bezold,f,northeast,14_2,140,149,326,32
Kristine Best,f,northeast,14_2,140,149,398,38
Amy Mandelbaum,f,northeast,14_2,141,138,453,49
Elizabeth Adams,f,northeast,14_2,142,132,260,20
Abby Graham,f,northeast,14_2,143,122,466,52
Cady Hart,f,northeast,14_2,174,107,523,60
Lisa Mikkelsen,f,northeast,14_2,176,99,404,39
Ayn Toppin,f,northeast,14_2,176,99,447,47
Kassandra Aveni,f,northeast,14_2,180,94,437,44
Lauren Conner,f,northeast,14_2,187,73,227,15
Kelly Steadman,f,northeast,14_2,187,73,433,43
Lizzy Smith,f,northeast,14_2,188,72,307,27
Miwa Andrus,f,northeast,14_2,190,70,458,51
Christie Choma,f,northeast,14_2,192,61,299,24
Kelly Munroe,f,northeast,14_2,192,61,300,25
Andrea Cooke,f,northeast,14_2,192,61,509,56
Nancy Kegelman,f,northeast,14_2,193,58,486,54
Michele Sano,f,northeast,14_2,193,58,515,58
Maria Vulcano,f,northeast,14_2,194,54,395,37
Katelyn Schuh,f,northeast,14_2,195,46,90,5
Erica Pollock,f,northeast,14_2,195,46,121,8
Vanessa Whiting,f,northeast,14_2,195,46,317,29
Tiffany Szemplinski,f,northeast,14_2,196,43,187,11
Tracy O'Donnell,f,northeast,14_2,196,43,243,18
kylee claxton,f,northeast,14_2,197,42,304,26
Michelle Fountain,f,northeast,14_2,198,37,358,34
Allyson Bushey,f,northeast,14_2,198,37,376,35
Kate Denny,f,northeast,14_2,198,37,473,53
Kristen Kane,f,northeast,14_2,199,33,320,30
Emmy Simpkins,f,northeast,14_2,200,31,278,22
Jennifer Hunter-Marshall,f,northeast,14_2,200,31,349,33
christina morris,f,northeast,14_2,201,26,222,14
Keidy Toomey,f,northeast,14_2,201,26,316,28
Elizabeth Warren,f,northeast,14_2,201,26,325,31
melissa smith,f,northeast,14_2,201,26,454,50
Angela Kamendulis,f,northeast,14_2,202,24,119,7
Keri Ann Koegel,f,northeast,14_2,202,24,376,35
Lauren Plumey,f,northeast,14_2,204,21,261,21
Karianne Dickson,f,northeast,14_2,206,20,446,45
Sarah Scholl,f,northeast,14_2,207,19,64,3
Sara Hill Mass,f,northeast,14_2,236,18,243,18
Megin Oczkowski,f,northeast,14_2,238,17,209,12
Kaitlyn Fitzgerald,f,northeast,14_2,240,16,489,55
Elizabeth Rogers,f,northeast,14_2,242,15,409,40
Rachel Goldenberg,f,northeast,14_2,244,14,233,16
Jessa Lemoine,f,northeast,14_2,248,13,430,42
Alice Efland,f,northeast,14_2,249,12,448,48
Molly Abgarian,f,northeast,14_2,252,11,288,23
Jenny Davis,f,northeast,14_2,255,10,157,10
Michelle Kercado,f,northeast,14_2,257,8,242,17
Sheila Barden,f,northeast,14_2,260,7,210,13
Alicia Gomes,f,northeast,14_2,261,6,446,45
Cheryl Nasso,f,northeast,14_2,265,5,33,2
Dani Horan,f,northeast,14_2,270,4,80,4
Kaleena Ladeairous,f,northeast,14_2,272,3,20,1
Rachel Martinez,f,northeast,14_2,273,2,117,6
Stacey Kroon,f,northeast,14_2,274,1,129,9
Molly Abgarian,f,northeast,14_3,144,206,288,23
Keidy Toomey,f,northeast,14_3,144,210,316,28
Michelle Fountain,f,northeast,14_3,145,191,358,34
Elizabeth Rogers,f,northeast,14_3,145,192,409,40
Kate Denny,f,northeast,14_3,145,186,473,53
Karianne Dickson,f,northeast,14_3,146,170,446,45
Sheila Barden,f,northeast,14_3,147,145,210,13
Kassandra Aveni,f,northeast,14_3,147,150,437,44
Sara Hill Mass,f,northeast,14_3,148,142,243,18
Christie Choma,f,northeast,14_3,148,139,299,24
Lizzy Smith,f,northeast,14_3,148,124,307,27
Maria Vulcano,f,northeast,14_3,148,137,395,37
melissa smith,f,northeast,14_3,148,127,454,50
Cady Hart,f,northeast,14_3,148,127,523,60
Vanessa Whiting,f,northeast,14_3,149,114,317,29
Alicia Gomes,f,northeast,14_3,149,117,446,45
Elizabeth Warren,f,northeast,14_3,150,93,325,31
Jennifer Hunter-Marshall,f,northeast,14_3,150,111,349,33
Allyson Bushey,f,northeast,14_3,150,99,376,35
Alice Efland,f,northeast,14_3,150,98,448,48
Miwa Andrus,f,northeast,14_3,150,106,458,51
Kristen Kane,f,northeast,14_3,151,90,320,30
Nancy Kegelman,f,northeast,14_3,151,86,486,54
Rachel Martinez,f,northeast,14_3,152,73,117,6
Emmy Simpkins,f,northeast,14_3,152,75,278,22
Jenny Davis,f,northeast,14_3,153,70,157,10
Tracy O'Donnell,f,northeast,14_3,153,59,243,18
kylee claxton,f,northeast,14_3,153,60,304,26
Keri Ann Koegel,f,northeast,14_3,153,69,376,35
Kaitlyn Fitzgerald,f,northeast,14_3,153,67,489,55
Michele Sano,f,northeast,14_3,153,66,515,58
Jaime Vanacore,f,northeast,14_3,153,62,521,59
Megin Oczkowski,f,northeast,14_3,154,51,209,12
Carla Bezold,f,northeast,14_3,154,55,326,32
Jennifer Lesniak,f,northeast,14_3,154,50,419,41
Jessa Lemoine,f,northeast,14_3,154,49,430,42
Ayn Toppin,f,northeast,14_3,154,54,447,47
Stacey Kroon,f,northeast,14_3,155,48,129,9
christina morris,f,northeast,14_3,155,46,222,14
Rachel Goldenberg,f,northeast,14_3,155,45,233,16
Amy Mandelbaum,f,northeast,14_3,155,47,453,49
Lauren Conner,f,northeast,14_3,156,43,227,15
Kelly Steadman,f,northeast,14_3,157,38,433,43
Kristen Graham,f,northeast,14_3,157,39,513,57
Angela Kamendulis,f,northeast,14_3,160,27,119,7
Andrea Cooke,f,northeast,14_3,160,26,509,56
Michelle Kercado,f,northeast,14_3,161,23,242,17
Sarah Scholl,f,northeast,14_3,162,22,64,3
Kelly Munroe,f,northeast,14_3,162,19,300,25
Lisa Mikkelsen,f,northeast,14_3,162,21,404,39
Dani Horan,f,northeast,14_3,166,17,80,4
Kristine Best,f,northeast,14_3,166,16,398,38
Cheryl Nasso,f,northeast,14_3,171,14,33,2
Lauren Plumey,f,northeast,14_3,174,11,261,21
Katelyn Schuh,f,northeast,14_3,175,8,90,5
Erica Pollock,f,northeast,14_3,175,6,121,8
Tiffany Szemplinski,f,northeast,14_3,175,10,187,11
Abby Graham,f,northeast,14_3,175,6,466,52
Kaleena Ladeairous,f,northeast,14_3,180,3,20,1
Elizabeth Adams,f,northeast,14_3,183,1,260,20
Andrea Cooke,f,northeast,14_4,181,245,509,56
Kelly Munroe,f,northeast,14_4,182,193,300,25
